feature,importance
month_12,0.26643893122673035
month_1,0.23927481472492218
month_2,0.23622240126132965
month_3,0.06401117891073227
weekday_0,0.05098345875740051
month_7,0.03217899799346924
month_6,0.019372539594769478
weekday_6,0.019350215792655945
weekday_2,0.009158937260508537
weekday_1,0.00822810735553503
month_8,0.008153055794537067
month_5,0.006549968849867582
weekday_3,0.005416892468929291
weekday_5,0.004890904296189547
month_10,0.004372835159301758
weekday_4,0.003625300247222185
week_26,0.0010762984165921807
week_39,0.0010567057179287076
week_13,0.0010127918794751167
week_48,0.000937093747779727
week_5,0.0008285185322165489
week_35,0.0008082860731519759
week_31,0.0008058745879679918
week_42,0.0006888423231430352
week_11,0.0006692497408948839
week_1,0.0006460358272306621
week_43,0.000618946214672178
week_9,0.0006039055297151208
week_22,0.0006016830448061228
week_41,0.0005823989049531519
week_18,0.000580751511733979
week_12,0.0005321716889739037
week_44,0.00052928167860955
month_9,0.0005206360947340727
week_17,0.0005004441482014954
month_11,0.00044501980300992727
month_4,0.00043876623385585845
week_10,0.00041250637150369585
week_2,0.00032800022745504975
week_51,0.00028458432643674314
week_21,0.0002797841152641922
week_52,0.0002786547993309796
week_29,0.00026735139545053244
week_4,0.00026040300144813955
week_28,0.00025929961702786386
week_20,0.00023308231902774423
week_30,0.0002237374719697982
week_38,0.00022035925940144807
week_7,0.00021529851073864847
week_24,0.00021132195251993835
week_3,0.0002077643875963986
week_15,0.00020748273527715355
week_49,0.00020714127458631992
week_27,0.00020403078815434128
week_19,0.00020379286434035748
week_14,0.00019885474466718733
week_40,0.00019579251238610595
week_50,0.0001892915606731549
week_16,0.00018923557945527136
week_45,0.00018721868400461972
week_36,0.00018185563385486603
week_6,0.0001813561248127371
week_47,0.00018048612400889397
week_32,0.00017712212866172194
week_46,0.00016770142246969044
week_34,0.00016705854795873165
week_25,0.0001668300828896463
week_8,0.00015651890134904534
week_37,0.00015121638716664165
week_33,0.00014891602040734142
week_23,0.00014380535867530853
